State, Cause 1, Cause 1 Value, Cause 1 Value (Per Capita),Cause 2,Cause Value 2,Cause Value 2 (Per Capita),Cause 3,Cause Value 3,Cause Value 3 (Per Capita),Cause 4,Cause Value 4,Cause Value 4 (Per Capita),Cause 5,Cause Value 5,Cause Value 5 (Per Capita)
New York,Diseases of heart,44450,0.2284928707911112,Malignant neoplasms,35089,0.18037314607849947,Chronic lower respiratory diseases,7109,0.03654343798546703,Accidents (unintentional injuries),6515,0.03349001244553632,Cerebrovascular diseases,6292,0.032343692756303076
North Carolina,Malignant neoplasms,19322,0.18422812021719123,Diseases of heart,18474,0.1761427540054027,Chronic lower respiratory diseases,5221,0.04978030305630656,Cerebrovascular diseases,5033,0.047987792622561,Accidents (unintentional injuries),4991,0.04758733816395826
North Dakota,Diseases of heart,1323,0.17360792166516636,Malignant neoplasms,1320,0.173214252908556,Alzheimer's disease,376,0.04933981749516444,Accidents (unintentional injuries),368,0.04829003414420349,Chronic lower respiratory diseases,351,0.04605924452341148
Ohio,Diseases of heart,28069,0.24012969347511787,Malignant neoplasms,25396,0.21726223575809941,Chronic lower respiratory diseases,7211,0.061689950466674075,Accidents (unintentional injuries),6756,0.057797435217424774,Cerebrovascular diseases,5945,0.050859347597334265
Oklahoma,Diseases of heart,10310,0.26055283195151036,Malignant neoplasms,8280,0.20925096494262913,Chronic lower respiratory diseases,2924,0.07389490597732458,Accidents (unintentional injuries),2422,0.06120843443128595,Cerebrovascular diseases,1881,0.04753636051414074
Oregon,Malignant neoplasms,8093,0.19188014805095718,Diseases of heart,6859,0.16262275243809654,Chronic lower respiratory diseases,2119,0.050240211753364426,Accidents (unintentional injuries),1999,0.047395084141092725,Cerebrovascular diseases,1873,0.04440770014820744
Pennsylvania,Diseases of heart,32042,0.25028923239974665,Malignant neoplasms,28697,0.22416048006290273,Accidents (unintentional injuries),7324,0.05720986012407916,Cerebrovascular diseases,6987,0.05457745667489638,Chronic lower respiratory diseases,6664,0.05205441123250457
Rhode Island,Diseases of heart,2371,0.223814167219673,Malignant neoplasms,2226,0.21012667070054494,Accidents (unintentional injuries),649,0.061263346489062745,Chronic lower respiratory diseases,510,0.04814222913624345,Alzheimer's disease,453,0.04276162705631036
South Carolina,Diseases of heart,10092,0.19601011048584172,Malignant neoplasms,9950,0.19325214024317527,Chronic lower respiratory diseases,2908,0.05648012299770389,Accidents (unintentional injuries),2737,0.053158905311112635,Cerebrovascular diseases,2600,0.050498046696709126
South Dakota,Diseases of heart,1711,0.19340785545617012,Malignant neoplasms,1640,0.18538216420112155,Chronic lower respiratory diseases,502,0.05674502831034331,Accidents (unintentional injuries),469,0.053014777445320745,Alzheimer's disease,421,0.04758895800528791
Tennessee,Diseases of heart,15730,0.23033532312985433,Malignant neoplasms,14214,0.20813644519820404,Chronic lower respiratory diseases,4239,0.06207192846455516,Accidents (unintentional injuries),3873,0.05671256875282428,Cerebrovascular diseases,3447,0.05047462548179326
Texas,Diseases of heart,43298,0.14932465752635693,Malignant neoplasms,39121,0.13491916317355557,Cerebrovascular diseases,10485,0.03616030842449657,Chronic lower respiratory diseases,10231,0.03528432193524315,Accidents (unintentional injuries),9976,0.034404886680284005
Utah,Diseases of heart,3598,0.11222854447874864,Malignant neoplasms,3091,0.09641423873924737,Accidents (unintentional injuries),1223,0.038147723706923174,Alzheimer's disease,906,0.028259883629167943,Cerebrovascular diseases,888,0.027698428987528848
Vermont,Malignant neoplasms,1399,0.22420267023937923,Diseases of heart,1311,0.2100998575295398,Chronic lower respiratory diseases,357,0.05721254701605316,Accidents (unintentional injuries),346,0.05544969542732324,Cerebrovascular diseases,307,0.04919958524909894
Virginia,Malignant neoplasms,14947,0.17511530347480922,Diseases of heart,14077,0.16492260166019196,Accidents (unintentional injuries),3429,0.04017330404864661,Cerebrovascular diseases,3393,0.039751537077007265,Chronic lower respiratory diseases,3370,0.03948207484512658
Washington,Malignant neoplasms,12687,0.16660772515122668,Diseases of heart,11025,0.14478207375993332,Alzheimer's disease,3490,0.04583124148953899,Accidents (unintentional injuries),3192,0.04191785754573308,Chronic lower respiratory diseases,3154,0.0414188354320934
West Virginia,Malignant neoplasms,4839,0.2700113327757154,Diseases of heart,4727,0.2637618454289743,Chronic lower respiratory diseases,1628,0.0908407625044151,Accidents (unintentional injuries),1516,0.084591275157674,Cerebrovascular diseases,1079,0.0602071147065503
Wisconsin,Diseases of heart,11473,0.19704817607206884,Malignant neoplasms,11423,0.19618942868223152,Accidents (unintentional injuries),3206,0.05506288263636823,Chronic lower respiratory diseases,2846,0.04887990142953961,Cerebrovascular diseases,2618,0.04496401333188148
Wyoming,Diseases of heart,1030,0.17796699489770354,Malignant neoplasms,931,0.16086142936870096,Accidents (unintentional injuries),400,0.06911339607677806,Chronic lower respiratory diseases,368,0.06358432439063583,Cerebrovascular diseases,198,0.03421113105800515
